Year,Deaths
2000,226632
2001,227709
2002,230795
2003,232109
2004,236503
2005,214622
2006,212324
2007,212736
2008,216227
2009,221059
2010,220826
2011,199103
2012,199086
2013,193855
2014,189891
2015,173999
2016,171828
2017,171170
2018,170724
2019,172692
2020,176021
2021,179524
2022,184248
2023,190159
2024,197236
2025,204692
2026,215225
2027,226920
2028,239786
2029,253824
2030,269034
2031,286824
2032,305806
2033,325987
2034,347395
2035,370057
2036,394244
2037,419787
2038,446741
2039,475173
2040,505140
2041,537134
2042,570817
2043,606263
2044,643562
2045,682788
2046,725266
2047,769995
2048,817090
2049,866672
2050,918865
