US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0.9243,0.8505,0.75,0.8,0.8,0.85,0.8,0.8,0.5366,0.9968,0.95,0.85,0.85,0.7,0.7,0.8
0.921048245,0.849575092,0.75,0.81967721,0.8,0.858006172,0.720461934,0.8,0.536604552,0.9968,0.954642722,0.85,0.85,0.7,0.7,0.8
0.91780793,0.848651191,0.75,0.839838411,0.8,0.866087754,0.648831748,0.8,0.536609105,0.9968,0.959308133,0.85,0.85,0.7,0.7,0.8
0.914579015,0.847728294,0.75,0.860495507,0.8,0.874245456,0.58432322,0.8,0.536613657,0.9968,0.963996344,0.85,0.85,0.7,0.7,0.8
0.911361459,0.8468064,0.75,0.881660696,0.8,0.882479997,0.526228296,0.8,0.536618209,0.9968,0.968707467,0.85,0.85,0.7,0.7,0.8
0.908155223,0.845885509,0.75,0.903346474,0.8,0.890792098,0.47390932,0.8,0.536622762,0.9968,0.973441613,0.85,0.85,0.7,0.7,0.8
0.903641788,0.850054412,0.75,0.913121428,0.8,0.893909035,0.445640377,0.8,0.536624465,0.9968,0.971942943,0.85,0.85,0.7,0.7,0.8
0.899150783,0.854243862,0.75,0.923002154,0.8,0.897036878,0.419057693,0.8,0.536626169,0.9968,0.970446579,0.85,0.85,0.7,0.7,0.8
0.894682099,0.858453959,0.75,0.932989798,0.8,0.900175666,0.394060679,0.8,0.536627873,0.9968,0.96895252,0.85,0.85,0.7,0.7,0.8
0.890235623,0.862684805,0.75,0.943085517,0.8,0.903325437,0.370554751,0.8,0.536629577,0.9968,0.967460761,0.85,0.85,0.7,0.7,0.8
0.885811246,0.866936503,0.75,0.95329048,0.8,0.906486229,0.348450963,0.8,0.536631281,0.9968,0.965971298,0.85,0.85,0.7,0.7,0.8
0.884085232,0.873930711,0.75,0.958069585,0.8,0.907690639,0.338213155,0.8,0.536631918,0.9968,0.961691747,0.85,0.85,0.7,0.7,0.8
0.882362582,0.880981346,0.75,0.96287265,0.8,0.908896649,0.328276143,0.8,0.536632556,0.9968,0.957431155,0.85,0.85,0.7,0.7,0.8
0.880643289,0.888088863,0.75,0.967699793,0.8,0.910104262,0.318631089,0.8,0.536633194,0.9968,0.953189439,0.85,0.85,0.7,0.7,0.8
0.878927345,0.895253723,0.75,0.972551136,0.8,0.911313479,0.309269416,0.8,0.536633831,0.9968,0.948966515,0.85,0.85,0.7,0.7,0.8
0.877214745,0.902476386,0.75,0.977426801,0.8,0.912524303,0.300182797,0.8,0.536634469,0.9968,0.9447623,0.85,0.85,0.7,0.7,0.8
0.876552271,0.905194646,0.75,0.979748605,0.8,0.912988442,0.296373238,0.8,0.536634708,0.9968,0.941271135,0.85,0.85,0.7,0.7,0.8
0.875890298,0.907921094,0.75,0.982075924,0.8,0.913452817,0.292612024,0.8,0.536634946,0.9968,0.937792872,0.85,0.85,0.7,0.7,0.8
