US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0.0395,0.0578,0.25,0.2,0.2,0.15,0.2,0.2,0.4082,0.0032,0.05,0.15,0.15,0.3,0.3,0.2
0.039584905,0.058992596,0.25,0.172928883,0.2,0.140774444,0.242681191,0.2,0.408187042,0.0032,0.041304964,0.15,0.15,0.3,0.3,0.2
0.039669992,0.060209799,0.25,0.149521993,0.2,0.132116293,0.294470803,0.2,0.408174085,0.0032,0.034122001,0.15,0.15,0.3,0.3,0.2
0.039755262,0.061452117,0.25,0.129283357,0.2,0.123990651,0.357312627,0.2,0.408161128,0.0032,0.02818816,0.15,0.15,0.3,0.3,0.2
0.039840715,0.062720068,0.25,0.111784132,0.2,0.116364766,0.433565269,0.2,0.408148171,0.0032,0.023286219,0.15,0.15,0.3,0.3,0.2
0.039926352,0.064014181,0.25,0.096653526,0.2,0.109207902,0.52609068,0.2,0.408135215,0.0032,0.019236728,0.15,0.15,0.3,0.3,0.2
0.044330035,0.061539581,0.25,0.083570931,0.2,0.105871329,0.549082887,0.2,0.408130365,0.0032,0.015891447,0.15,0.15,0.3,0.3,0.2
0.049219423,0.059160642,0.25,0.072259139,0.2,0.102636697,0.573079941,0.2,0.408125516,0.0032,0.013127913,0.15,0.15,0.3,0.3,0.2
0.054648087,0.056873666,0.25,0.062478461,0.2,0.099500891,0.598125761,0.2,0.408120666,0.0032,0.010844959,0.15,0.15,0.3,0.3,0.2
0.060675507,0.054675097,0.25,0.054021653,0.2,0.096460891,0.62426618,0.2,0.408115817,0.0032,0.008959013,0.15,0.15,0.3,0.3,0.2
0.067367721,0.052561519,0.25,0.04670952,0.2,0.093513771,0.651549037,0.2,0.408110968,0.0032,0.007401034,0.15,0.15,0.3,0.3,0.2
0.07358854,0.046373328,0.25,0.040387126,0.2,0.092273701,0.660928696,0.2,0.408109153,0.0032,0.006113989,0.15,0.15,0.3,0.3,0.2
0.080383797,0.040913687,0.25,0.034920503,0.2,0.091050075,0.670443384,0.2,0.408107338,0.0032,0.005050762,0.15,0.15,0.3,0.3,0.2
0.087806537,0.036096823,0.25,0.030193818,0.2,0.089842675,0.680095046,0.2,0.408105523,0.0032,0.004172431,0.15,0.15,0.3,0.3,0.2
0.095914702,0.03184706,0.25,0.026106916,0.2,0.088651287,0.689885652,0.2,0.408103708,0.0032,0.003446842,0.15,0.15,0.3,0.3,0.2
0.104771585,0.028097631,0.25,0.022573199,0.2,0.087475697,0.699817203,0.2,0.408101893,0.0032,0.002847434,0.15,0.15,0.3,0.3,0.2
0.107503467,0.025896247,0.25,0.019517791,0.2,0.08700607,0.703492482,0.2,0.408101214,0.0032,0.002352263,0.15,0.15,0.3,0.3,0.2
0.110306583,0.023867337,0.25,0.016875949,0.2,0.086538965,0.707187064,0.2,0.408100535,0.0032,0.001943203,0.15,0.15,0.3,0.3,0.2
0.113182789,0.021997387,0.25,0.014591695,0.2,0.086074367,0.710901048,0.2,0.408099855,0.0032,0.001605278,0.15,0.15,0.3,0.3,0.2
0.116133991,0.020273943,0.25,0.012616627,0.2,0.085612264,0.714634538,0.2,0.408099176,0.0032,0.001326119,0.15,0.15,0.3,0.3,0.2
0.119162144,0.018685527,0.25,0.010908896,0.2,0.085152641,0.718387635,0.2,0.408098497,0.0032,0.001095506,0.15,0.15,0.3,0.3,0.2
0.12024943,0.017897586,0.25,0.009432316,0.2,0.084973134,0.719810921,0.2,0.408098243,0.0032,0.000904997,0.15,0.15,0.3,0.3,0.2
0.121346636,0.017142871,0.25,0.0081556,0.2,0.084794005,0.721237028,0.2,0.408097989,0.0032,0.000747617,0.15,0.15,0.3,0.3,0.2
0.122453854,0.016419981,0.25,0.007051694,0.2,0.084615254,0.722665959,0.2,0.408097734,0.0032,0.000617606,0.15,0.15,0.3,0.3,0.2
0.123571174,0.015727575,0.25,0.006097208,0.2,0.08443688,0.724097722,0.2,0.40809748,0.0032,0.000510204,0.15,0.15,0.3,0.3,0.2
0.12469869,0.015064366,0.25,0.005271916,0.2,0.084258881,0.725532322,0.2,0.408097226,0.0032,0.000421479,0.15,0.15,0.3,0.3,0.2
0.125121828,0.014774809,0.25,0.004558333,0.2,0.084189997,0.726081252,0.2,0.408097131,0.0032,0.000348184,0.15,0.15,0.3,0.3,0.2
0.125546403,0.014490818,0.25,0.003941337,0.2,0.084121168,0.726630598,0.2,0.408097036,0.0032,0.000287634,0.15,0.15,0.3,0.3,0.2
0.125972418,0.014212286,0.25,0.003407855,0.2,0.084052396,0.727180359,0.2,0.40809694,0.0032,0.000237614,0.15,0.15,0.3,0.3,0.2
0.126399879,0.013939107,0.25,0.002946583,0.2,0.083983681,0.727730536,0.2,0.408096845,0.0032,0.000196293,0.15,0.15,0.3,0.3,0.2
0.12682879,0.01367118,0.25,0.002547747,0.2,0.083915021,0.72828113,0.2,0.40809675,0.0032,0.000162158,0.15,0.15,0.3,0.3,0.2
0.126992273,0.013562257,0.25,0.002202895,0.2,0.083888545,0.728492519,0.2,0.408096715,0.0032,0.000133958,0.15,0.15,0.3,0.3,0.2
0.127155966,0.013454201,0.25,0.001904721,0.2,0.083862078,0.72870397,0.2,0.408096679,0.0032,0.000110663,0.15,0.15,0.3,0.3,0.2
0.127319871,0.013347007,0.25,0.001646906,0.2,0.083835619,0.728915482,0.2,0.408096643,0.0032,9.14E-05,0.15,0.15,0.3,0.3,0.2
0.127483986,0.013240666,0.25,0.001423988,0.2,0.083809168,0.729127056,0.2,0.408096608,0.0032,7.55E-05,0.15,0.15,0.3,0.3,0.2
0.127648313,0.013135173,0.25,0.001231243,0.2,0.083782726,0.729338691,0.2,0.408096572,0.0032,6.24E-05,0.15,0.15,0.3,0.3,0.2
0.127711311,0.013093667,0.25,0.001064588,0.2,0.083772544,0.729420049,0.2,0.408096559,0.0032,5.15E-05,0.15,0.15,0.3,0.3,0.2
0.12777434,0.013052293,0.25,0.00092049,0.2,0.083762363,0.729501416,0.2,0.408096545,0.0032,4.26E-05,0.15,0.15,0.3,0.3,0.2
0.127837399,0.013011049,0.25,0.000795896,0.2,0.083752183,0.729582792,0.2,0.408096532,0.0032,3.52E-05,0.15,0.15,0.3,0.3,0.2
0.12790049,0.012969936,0.25,0.000688167,0.2,0.083742005,0.729664177,0.2,0.408096519,0.0032,2.91E-05,0.15,0.15,0.3,0.3,0.2
0.127963612,0.012928953,0.25,0.00059502,0.2,0.083731828,0.729745572,0.2,0.408096505,0.0032,2.40E-05,0.15,0.15,0.3,0.3,0.2
0.127987864,0.012913046,0.25,0.000514481,0.2,0.083727911,0.729776877,0.2,0.4080965,0.0032,1.98E-05,0.15,0.15,0.3,0.3,0.2
0.128012121,0.012897158,0.25,0.000444843,0.2,0.083723994,0.729808184,0.2,0.408096495,0.0032,1.64E-05,0.15,0.15,0.3,0.3,0.2
0.128036382,0.01288129,0.25,0.000384631,0.2,0.083720078,0.729839492,0.2,0.40809649,0.0032,1.35E-05,0.15,0.15,0.3,0.3,0.2
0.128060648,0.012865442,0.25,0.000332569,0.2,0.083716161,0.729870802,0.2,0.408096486,0.0032,1.12E-05,0.15,0.15,0.3,0.3,0.2
0.128084919,0.012849613,0.25,0.000287554,0.2,0.083712245,0.729902113,0.2,0.408096481,0.0032,9.23E-06,0.15,0.15,0.3,0.3,0.2
0.128094251,0.012843502,0.25,0.000248632,0.2,0.083710738,0.729914158,0.2,0.408096479,0.0032,7.63E-06,0.15,0.15,0.3,0.3,0.2
0.128103585,0.012837394,0.25,0.000214978,0.2,0.083709231,0.729926203,0.2,0.408096477,0.0032,6.30E-06,0.15,0.15,0.3,0.3,0.2
0.128112919,0.012831289,0.25,0.00018588,0.2,0.083707725,0.729938248,0.2,0.408096475,0.0032,5.21E-06,0.15,0.15,0.3,0.3,0.2
0.128122254,0.012825187,0.25,0.00016072,0.2,0.083706218,0.729950294,0.2,0.408096473,0.0032,4.30E-06,0.15,0.15,0.3,0.3,0.2
0.128131589,0.012819088,0.25,0.000138966,0.2,0.083704711,0.729962339,0.2,0.408096471,0.0032,3.55E-06,0.15,0.15,0.3,0.3,0.2
