US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
21.0808322,2.991331142,12.68993959,27.26074555,28.47421787,34.40114646,18.65311965,11.3067478,64.63936912,6.632237092,39.26113709,31.93532258,1.793345039,81.04269882,16.7490498,68.08321124
21.16176896,3.028030462,13.01728371,26.96598386,29.8125151,34.50661609,19.93456981,11.56879321,68.05235778,6.642122949,40.8091088,29.95134693,1.834283911,85.07924982,18.02698938,68.98092762
21.24301646,3.065180029,13.35307186,26.67440933,31.21371273,34.61240908,21.30405427,11.8369118,71.64555382,6.652023541,42.41811329,28.09062538,1.876157343,89.31685218,19.40243478,69.89048091
21.3245759,3.102785368,13.69752186,26.38598751,32.68076709,34.71852641,22.76762091,12.1112443,75.42847227,6.661938891,44.09055694,26.34550079,1.918986672,93.76551979,20.88282559,70.81202719
21.40644848,3.140852071,14.05085713,26.10068429,34.21677347,34.82496909,24.33173308,12.39193474,79.41113058,6.67186902,45.828941,24.70879172,1.962793718,98.43576533,22.47616908,71.74572459
21.48863539,3.179385797,14.41330689,25.81846597,35.82497263,34.93173811,26.00329815,12.67913047,83.60407509,6.681813951,47.63586533,23.17376289,2.007600801,103.3386251,24.19108345,72.69173332
22.12097244,3.229330122,14.60578939,26.04967791,38.33984396,34.76602094,28.00767145,12.77948751,85.78054031,6.553598002,50.24304802,22.08968534,2.025826388,106.8297459,27.0810882,72.9724842
22.77191701,3.280059013,14.80084239,26.28296042,41.03125633,34.60108994,30.16654486,12.88063889,88.01366547,6.427842362,52.99292573,21.05632135,2.044217432,110.4388084,30.3163494,73.25431941
23.44201665,3.331584794,14.99850023,26.51833204,43.91160272,34.43694137,32.49182748,12.9825909,90.30492558,6.304499821,55.8933084,20.07129853,2.062775436,114.1697969,33.93811334,73.53724312
24.13183502,3.383919983,15.19879769,26.75581148,46.99414606,34.27357153,34.99634638,13.08534988,92.65583408,6.183524074,58.95243339,19.13235546,2.081501914,118.0268306,37.99255386,73.82125954
24.8419524,3.437077295,15.40177002,26.99541762,50.29308035,34.11097672,37.69391737,13.1889222,95.06794378,6.064869707,62.17898889,18.23733651,2.100398397,122.0141676,42.53136095,74.10637289
24.97016821,3.45432288,15.74040323,27.1945965,51.42916709,34.37157175,39.0042473,13.52323028,97.37521224,6.015984327,67.70576351,18.79801382,2.122361589,122.6564671,44.60668428,75.35184394
25.09904578,3.471654995,16.08648185,27.39524497,52.59091726,34.63415762,40.36012742,13.86601228,99.73847736,5.967492984,73.72378508,19.37592825,2.144554442,123.3021477,46.78327328,76.61824704
25.22858852,3.489074075,16.44016958,27.59737387,53.77891059,34.89874955,41.76314114,14.217483,102.1590982,5.919392502,80.27671802,19.97160972,2.166979359,123.9512273,49.06606923,77.90593397
25.35879987,3.506580555,16.80163372,27.80099413,54.99373988,35.16536286,43.21492695,14.57786267,104.6384667,5.87167973,87.4121079,20.58560445,2.189638766,124.6037237,51.4602545,79.21526246
25.48968327,3.524174873,17.17104524,28.00611675,56.23601134,35.434013,44.71718027,14.94737711,107.1780086,5.824351542,95.18172636,21.21847545,2.212535115,125.259655,53.97126436,80.54659622
25.60473359,3.54341559,17.51943103,28.33416806,57.36717359,35.33889963,45.19744172,15.32003625,112.9243249,5.781854249,101.1643794,21.59303058,2.237504547,126.8100978,56.00112827,82.07594237
25.72030321,3.562761353,17.87488526,28.66606202,58.52108867,35.24404157,45.68286117,15.70198631,118.9787282,5.739667038,107.5230725,21.97419748,2.26275577,128.3797317,58.10733553,83.63432637
25.83639446,3.582212737,18.23755136,29.00184364,59.69821423,35.14943812,46.17349401,16.09345893,125.3577365,5.697787644,114.2814415,22.36209286,2.288291965,129.9687943,60.29275743,85.22229956
25.95300971,3.601770319,18.60757565,29.34155846,60.89901715,35.05508862,46.66939624,16.4946915,132.0787534,5.656213823,121.4646083,22.75683548,2.314116347,131.577526,62.56037324,86.84042376
26.07015131,3.621434678,18.98510741,29.68525255,62.12397368,34.96099237,47.17062444,16.90592737,139.1601155,5.614943345,129.0992734,23.15854623,2.340232168,133.2061703,64.91327427,88.48927144
26.19557806,3.643601053,19.39537974,30.05068686,63.45101886,34.8778133,47.4871622,17.28500217,146.4566877,5.547202095,133.827851,23.4018046,2.366268688,135.3853784,67.16660271,90.43190063
26.32160825,3.665903105,19.81451815,30.42061977,64.80641136,34.79483213,47.80582408,17.67257681,154.1358406,5.480278107,138.7296244,23.64761816,2.392594881,137.6002376,69.49815073,92.41717689
26.4482448,3.688341666,20.24271423,30.79510667,66.19075673,34.71204838,48.12662434,18.06884188,162.2176339,5.414161521,143.8109372,23.89601376,2.419213968,139.8513311,71.91063356,94.44603647
26.5754906,3.71091757,20.68016372,31.17420362,67.60467344,34.6294616,48.44957732,18.47399224,170.7231793,5.348842595,149.0783655,24.14701852,2.446129209,142.1392518,74.40686068,96.51943615
26.70334861,3.733631659,21.12706659,31.55796736,69.04879316,34.54707131,48.77469748,18.88822712,179.6746953,5.284311707,154.5387264,24.40065985,2.473343899,144.4646021,76.9897391,98.63835375
26.8262693,3.754210877,21.42228503,31.91627732,70.57213373,34.41947241,48.97556411,19.25665485,187.1315693,5.216085332,158.9077913,24.52933054,2.498616477,147.2291283,79.50746528,101.072155
26.94975583,3.774903524,21.72162869,32.27865554,72.12908192,34.29234481,49.17725796,19.63226902,194.8979191,5.148739835,163.400377,24.65867974,2.524147289,150.0465574,82.10752639,103.5660079
27.07381078,3.795710226,22.02515522,32.64514821,73.72037919,34.16568674,49.37978245,20.01520979,202.9865886,5.082263844,168.0199754,24.78871103,2.549938974,152.9179018,84.79261497,106.1213941
27.19843679,3.816631612,22.33292307,33.01580205,75.34678334,34.03949648,49.58314097,20.40562008,211.4109547,5.016646133,172.7701775,24.91942801,2.575994199,155.8441934,87.56551157,108.7398318
27.32363647,3.837668313,22.6449915,33.39066429,77.00906889,33.91377231,49.78733699,20.8036456,220.1849496,4.95187562,177.6546757,25.05083429,2.602315655,158.8264834,90.42908773,111.4228768
27.43954416,3.855767498,22.86359288,33.73087598,78.71077967,33.84553943,49.89050535,20.9524597,224.1032678,4.871729811,179.4553181,25.08705477,2.62668936,162.1770634,93.09380555,114.4267048
27.55594353,3.873952041,23.0843045,34.07455403,80.45009407,33.77744384,49.9938875,21.10233832,228.0913148,4.792881158,181.2742112,25.12332761,2.651291354,165.5983266,95.83704591,117.5115124
27.67283667,3.892222346,23.30714675,34.42173375,82.22784303,33.70948525,50.09748388,21.25328906,232.1503314,4.715308666,183.1115399,25.1596529,2.676123774,169.0917644,98.66112266,120.6794827
27.79022567,3.910578818,23.53214019,34.77245083,84.04487587,33.64166338,50.20129493,21.40531959,236.2815805,4.63899168,184.967491,25.19603071,2.701188778,172.6588992,101.5684179,123.9328578
27.90811264,3.929021862,23.75930558,35.1267413,85.90206066,33.57397798,50.30532109,21.55843763,240.4863476,4.563909879,186.8422534,25.23246112,2.726488545,176.3012857,104.5613837,127.2739399
28.01389988,3.946305897,23.95731233,35.42958442,87.12405827,33.48268622,50.35849722,21.68301145,242.0666511,4.495445162,189.2845841,25.18973671,2.750377306,180.3782681,106.594156,131.1402674
28.12008812,3.963665965,24.15696925,35.73503847,88.36343938,33.3916427,50.41172955,21.80830511,243.6573392,4.428007506,191.75884,25.14708465,2.774475375,184.5495311,108.6664474,135.1240461
28.22667886,3.981102401,24.35829008,36.04312598,89.62045128,33.30084673,50.46501816,21.93432277,245.2584801,4.361581505,194.2654384,25.1045048,2.798784584,188.8172549,110.779026,139.2288441
28.33367365,3.998615542,24.5612887,36.35386965,90.89534477,33.21029765,50.5183631,22.06106862,246.8701426,4.296151983,196.8048021,25.06199705,2.823306784,193.1836702,112.9326752,143.4583376
28.441074,4.016205724,24.76597907,36.66729238,92.18837423,33.11999478,50.57176442,22.18854685,248.4923958,4.23170399,199.3773594,25.01956128,2.848043841,197.6510592,115.1281933,147.8163146
28.53598496,4.033805657,24.94170858,36.67704807,93.10745748,33.07394474,50.5848145,22.28672591,248.693726,4.163984797,202.4564359,24.91227352,2.87149231,202.4138406,116.7496367,152.8496261
