US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0.8919,1,1,1,0.8913,1,0.9475,1,1,0.984,1,0.999,0.9879,1,1,0.9374
0.899050702,1,0.999383976,0.999482733,0.901768228,1,0.953274214,0.999383976,1,0.983704495,1,0.998507302,0.988029172,0.999383976,0.999383976,0.941286874
0.906258734,1,0.998768332,0.998965733,0.912359404,1,0.959083616,0.998768332,1,0.983409079,1,0.998014847,0.988158361,0.998768332,0.998768332,0.945189864
0.913524555,1,0.998153066,0.998449001,0.923074972,1,0.964928422,0.998153066,1,0.983113752,1,0.997522635,0.988287567,0.998153066,0.998153066,0.949109037
0.92084863,1,0.99753818,0.997932536,0.933916394,1,0.970808847,0.99753818,1,0.982818513,1,0.997030665,0.988416789,0.99753818,0.99753818,0.953044462
0.928231424,1,0.996923673,0.997416338,0.944885147,1,0.976725108,0.996923673,1,0.982523363,1,0.996538938,0.988546029,0.996923673,0.996923673,0.956996204
0.935710732,1,0.996070234,0.996648705,0.949502264,1,0.978353188,0.996070234,1,0.982409714,1,0.995732999,0.98872488,0.996070234,0.996070234,0.961023386
0.943250306,1,0.995217525,0.995881663,0.954141943,1,0.979983981,0.995217525,1,0.982296078,1,0.994927712,0.988903763,0.995217525,0.995217525,0.965067515
0.95085063,1,0.994365546,0.995115211,0.958804293,1,0.981617493,0.994365546,1,0.982182456,1,0.994123076,0.989082679,0.994365546,0.994365546,0.969128663
0.958512195,1,0.993514297,0.994349349,0.963489426,1,0.983253728,0.993514297,1,0.982068846,1,0.993319091,0.989261627,0.993514297,0.993514297,0.9732069
0.966235494,1,0.992663776,0.993584076,0.968197452,1,0.98489269,0.992663776,1,0.98195525,1,0.992515756,0.989440607,0.992663776,0.992663776,0.977302299
0.969142248,1,0.992335774,0.993213398,0.970440254,1,0.98552036,0.992335774,1,0.981911531,1,0.992205991,0.989509432,0.992335774,0.992335774,0.978859818
0.972057747,1,0.992007879,0.992842858,0.972688251,1,0.98614843,0.992007879,1,0.981867815,1,0.991896323,0.989578263,0.992007879,0.992007879,0.980419819
0.974982016,1,0.991680094,0.992472457,0.974941455,1,0.9867769,0.991680094,1,0.9818241,1,0.991586751,0.989647098,0.991680094,0.991680094,0.981982306
0.977915083,1,0.991352416,0.992102193,0.977199879,1,0.98740577,0.991352416,1,0.981780387,1,0.991277276,0.989715938,0.991352416,0.991352416,0.983547284
0.980856973,1,0.991024847,0.991732068,0.979463534,1,0.988035041,0.991024847,1,0.981736677,1,0.990967898,0.989784782,0.991024847,0.991024847,0.985114755
0.981979479,1,0.990898704,0.991553,0.980550028,1,0.988276717,0.990898704,1,0.981719858,1,0.990848767,0.989811264,0.990898704,0.990898704,0.985715168
0.983103269,1,0.990772578,0.991373965,0.981637726,1,0.988518452,0.990772578,1,0.981703039,1,0.990729649,0.989837746,0.990772578,0.990772578,0.986315946
0.984228345,1,0.990646467,0.991194962,0.982726632,1,0.988760247,0.990646467,1,0.98168622,1,0.990610547,0.98986423,0.990646467,0.990646467,0.98691709
0.985354709,1,0.990520372,0.991015991,0.983816745,1,0.9890021,0.990520372,1,0.981669402,1,0.990491458,0.989890714,0.990520372,0.990520372,0.9875186
0.986482361,1,0.990394294,0.990837052,0.984908067,1,0.989244013,0.990394294,1,0.981652584,1,0.990372384,0.989917198,0.990394294,0.990394294,0.988120478
0.986914838,1,0.99034577,0.990750531,0.985433739,1,0.989337022,0.99034577,1,0.981646114,1,0.990326557,0.989927387,0.99034577,0.99034577,0.98835165
0.987347505,1,0.990297249,0.990664017,0.985959692,1,0.989430039,0.990297249,1,0.981639643,1,0.990280732,0.989937576,0.990297249,0.990297249,0.988582877
