US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0.1081,0,0,0,0.1087,0,0.0525,0,0,0.016,0,0.001,0.0121,0,0,0.0626
0.099597267,0,0,0,0.094893697,0,0.044617474,0,0,0.016284992,0,0.001281864,0.011967943,0,0,0.058071203
0.091763326,0,0,0,0.082840972,0,0.037918456,0,0,0.016575061,0,0.001643175,0.011837327,0,0,0.053870042
0.084545574,0,0,0,0.0723191,0,0.032225252,0,0,0.016870296,0,0.002106326,0.011708137,0,0,0.049972814
0.077895542,0,0,0,0.06313364,0,0.027386845,0,0,0.017170791,0,0.002700023,0.011580357,0,0,0.046357531
0.071768576,0,0.003076327,0.002583662,0.055114853,0,0.023274892,0.003076327,0,0.017476637,0,0.003461062,0.011453971,0.003076327,0.003076327,0.043003796
0.061721937,0,0.003660332,0.003099134,0.049375023,0,0.021347527,0.003660332,0,0.01758881,0,0.004038286,0.011269189,0.003660332,0.003660332,0.037844416
0.053081692,0,0.004355204,0.00371745,0.044232956,0,0.019579764,0.004355204,0,0.017701704,0,0.004711778,0.011087388,0.004355204,0.004355204,0.033304033
0.045650966,0,0.00518199,0.004459126,0.039626399,0,0.017958388,0.00518199,0,0.017815322,0,0.005497592,0.010908519,0.00518199,0.00518199,0.029308382
0.039260442,0,0.006165731,0.005348777,0.035499584,0,0.016471276,0.006165731,0,0.017929669,0,0.006414462,0.010732537,0.006165731,0.006165731,0.025792109
0.033764506,0,0.007336224,0.006415924,0.031802548,0,0.01510731,0.007336224,0,0.01804475,0,0.007484244,0.010559393,0.007336224,0.007336224,0.022697701
0.030141888,0,0.007638119,0.006749735,0.029139002,0,0.014418894,0.007638119,0,0.018088255,0,0.007770986,0.010489643,0.007638119,0.007638119,0.020861075
0.026907942,0,0.007952438,0.007100914,0.026698535,0,0.013761848,0.007952438,0,0.018131864,0,0.008068714,0.010420353,0.007952438,0.007952438,0.019173064
0.024020969,0,0.008279691,0.007470365,0.024462463,0,0.013134743,0.008279691,0,0.018175578,0,0.008377848,0.010351521,0.008279691,0.008279691,0.01762164
0.021443742,0,0.008620412,0.007859037,0.022413669,0,0.012536214,0.008620412,0,0.018219398,0,0.008698826,0.010283144,0.008620412,0.008620412,0.016195753
0.019143027,0,0.008975153,0.008267932,0.020536466,0,0.011964959,0.008975153,0,0.018263323,0,0.009032102,0.010215218,0.008975153,0.008975153,0.014885245
0.017856184,0,0.009097862,0.008439652,0.019309434,0,0.011712754,0.009097862,0,0.018280111,0,0.009148182,0.010188596,0.009097862,0.009097862,0.014228679
0.016655846,0,0.009222249,0.008614939,0.018155715,0,0.011465865,0.009222249,0,0.018296914,0,0.009265755,0.010162044,0.009222249,0.009222249,0.013601073
0.015536198,0,0.009348336,0.008793867,0.017070931,0,0.011224181,0.009348336,0,0.018313732,0,0.009384838,0.010135561,0.009348336,0.009348336,0.01300115
0.014491815,0,0.009476147,0.00897651,0.016050961,0,0.010987591,0.009476147,0,0.018330566,0,0.009505452,0.010109147,0.009476147,0.009476147,0.012427689
0.013517639,0,0.009605706,0.009162948,0.015091933,0,0.010755987,0.009605706,0,0.018347416,0,0.009627616,0.010082802,0.009605706,0.009605706,0.011879522
