US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
199.5581767,30.33823985,18.35021707,40.36869318,10.0243709,213.0616051,16.87367769,5.800983846,69.7476805,12.57191445,42.28356349,1.212793726,5.621283014,21.23711894,16.1414838,16.12017624
202.1605878,30.2747967,18.44986284,42.92766018,10.28170006,217.836909,17.23222275,6.029459977,78.50728099,12.74580388,45.26040891,1.261547002,5.785690471,22.30329169,17.36077259,16.29220622
204.7969366,30.21148622,18.55004971,45.64883981,10.54563496,222.7192407,17.59838646,6.266934813,88.36699837,12.92209847,48.44683005,1.312260118,5.954906404,23.4229898,18.67216352,16.46607206
207.4676656,30.14830814,18.65078062,48.54251471,10.81634516,227.7109991,17.97233069,6.513762774,99.46499615,13.10083149,51.85758146,1.365011858,6.12907145,24.59890041,20.08261376,16.64179334
210.1732233,30.08526217,18.75205852,51.61961935,11.09400459,232.8146366,18.35422078,6.770312242,111.9567898,13.28203667,55.50845643,1.419884172,6.308330357,25.83384558,21.59960601,16.81938987
212.9140637,30.02234805,18.85388639,54.89178131,11.37879164,238.0326609,18.74422558,7.036966104,126.0174258,13.46574821,59.41636013,1.476962308,6.492832106,27.13078902,23.2311882,16.99888167
214.7668287,29.82674967,18.97928945,59.3255759,12.46627087,242.4640957,19.13167054,7.389703894,144.5383011,13.56230795,64.27623457,1.551063309,6.563015964,28.0157048,25.98530951,17.30311939
216.6357163,29.63242564,19.10552661,64.11750305,13.65768128,246.97803,19.52712402,7.760123162,165.7812032,13.65956009,69.53361534,1.628882047,6.63395847,28.92948359,29.06593948,17.61280222
218.5208668,29.43936764,19.23260341,69.29649034,14.96295563,251.576,19.93075157,8.149110214,190.1461906,13.7575096,75.2210159,1.710605047,6.705667824,29.87306678,32.51178661,17.92802759
220.4224219,29.24756744,19.36052544,74.89380192,16.39297598,256.25957,20.34272213,8.557595787,218.0921183,13.85616149,81.37360908,1.796428189,6.778152316,30.84742651,36.36614841,18.24889472
222.3405241,29.05701683,19.48929832,80.94322727,17.95966439,261.0303336,20.76320817,8.986557273,250.14528,13.95552078,88.02944464,1.886557184,6.851420324,31.8535666,40.67745541,18.57550457
225.1664332,29.29129023,20.20550937,82.33966783,18.99704984,264.908738,20.99316729,9.168595252,262.72496,13.94436075,95.99618016,2.047617874,6.941377571,32.43070851,43.73225602,19.11132599
