US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0.0258,0.017,0.006,0.0003,0.0704,0.1894,0.0117,0.0778,0.01,0.1155,0.2013,0.0726,0.0262,0.0644,0.0498,0.0436
0.021528757,0.0161991,0.005019959,0.00073059,0.064504228,0.18588884,0.012847096,0.079446471,0.008875338,0.086434977,0.172015907,0.076899932,0.024983311,0.061783094,0.043814913,0.042260801
0.017964628,0.015435932,0.004199998,0.001779206,0.059102208,0.182442772,0.014106657,0.081127786,0.007877163,0.064684028,0.146991913,0.08145454,0.023823124,0.059272526,0.038549129,0.040962736
0.014990547,0.014708717,0.003513969,0.004332899,0.05415259,0.179060587,0.015489708,0.082844682,0.006991248,0.048406601,0.125608282,0.086278906,0.022716814,0.056863975,0.033916199,0.039704542
0.012508831,0.014015764,0.002939997,0.010551908,0.049617486,0.175741103,0.017008357,0.084597913,0.006204969,0.036225312,0.107335433,0.091389009,0.021661879,0.054553297,0.029840067,0.038484994
0.010437969,0.013355456,0.002459777,0.025697061,0.045462183,0.172483156,0.018675897,0.086388248,0.00550712,0.027109385,0.091720824,0.096801771,0.020655934,0.052336513,0.026253814,0.037302905
0.012665577,0.014756687,0.002447379,0.027352666,0.048929652,0.187329191,0.019655344,0.097884344,0.005931376,0.029849507,0.102755577,0.103352608,0.024797135,0.057580739,0.027182696,0.042081236
0.015368588,0.016304933,0.002435043,0.029114938,0.052661589,0.203453058,0.020686157,0.110910281,0.006388317,0.032866591,0.115117899,0.110346757,0.029768584,0.063350447,0.028144443,0.04747165
0.018648459,0.018015618,0.002422769,0.03099075,0.056678167,0.220964745,0.02177103,0.125669642,0.006880458,0.036188631,0.128967509,0.117814218,0.035736733,0.069698291,0.029140218,0.053552551
0.0226283,0.019905786,0.002410557,0.032987416,0.061001096,0.239983705,0.022912799,0.142393101,0.007410514,0.039846452,0.144483338,0.125787023,0.042901405,0.076682202,0.030171223,0.060412388
0.027457495,0.021994266,0.002398407,0.035112723,0.065653741,0.260639671,0.024114447,0.161342031,0.007981403,0.043873992,0.161865846,0.134299369,0.051502486,0.084365915,0.031238707,0.068150938
0.030497875,0.022657951,0.002452037,0.036554053,0.066527983,0.271074369,0.024083622,0.167582871,0.008192293,0.045399602,0.17476173,0.133377512,0.056196926,0.088305575,0.027845557,0.072068903
0.033874916,0.023341663,0.002506865,0.038054548,0.067413866,0.28192682,0.024052836,0.174065112,0.008408756,0.04697826,0.188685033,0.132461982,0.061319264,0.092429206,0.024820971,0.07621211
0.037625898,0.024046006,0.00256292,0.039616636,0.068311546,0.293213748,0.02402209,0.18079809,0.008630938,0.048611813,0.203717608,0.131552737,0.066908501,0.0967454,0.022124916,0.080593508
0.041792229,0.024771603,0.002620228,0.041242846,0.06922118,0.304952548,0.023991382,0.187791506,0.00885899,0.050302168,0.219947831,0.130649733,0.073007196,0.101263149,0.019721706,0.08522679
0.046419898,0.025519095,0.002678818,0.04293581,0.070142926,0.317161311,0.023960715,0.195055433,0.009093069,0.052051301,0.23747112,0.129752928,0.079661786,0.105991863,0.017579534,0.090126437
0.048224088,0.025834228,0.002703103,0.044462552,0.070603428,0.325606086,0.023944979,0.198385938,0.009190835,0.052861567,0.25417577,0.129284823,0.082352264,0.108115645,0.015887411,0.09226851
0.050098401,0.026153253,0.002727609,0.046043584,0.071066954,0.334275713,0.023929254,0.201773311,0.009289653,0.053684446,0.272055491,0.128818407,0.08513361,0.110281982,0.014358164,0.094461495
0.052045563,0.026476217,0.002752337,0.047680835,0.071533523,0.343176178,0.02391354,0.205218522,0.009389533,0.054520135,0.291192942,0.128353674,0.088008893,0.112491726,0.012976115,0.096706601
0.054068404,0.02680317,0.002777289,0.049376304,0.072003155,0.352313629,0.023897836,0.208722559,0.009490487,0.055368833,0.311676596,0.127890618,0.090981285,0.114745747,0.011727095,0.099005067
0.056169866,0.02713416,0.002802468,0.051132063,0.07247587,0.361694374,0.023882142,0.212286426,0.009592527,0.056230742,0.33360115,0.127429232,0.094054065,0.117044932,0.010598301,0.101358162
0.0571503,0.027280575,0.002813289,0.051956905,0.072716741,0.366878072,0.023874104,0.214019264,0.009636993,0.056651618,0.35032676,0.127190812,0.095481274,0.11815358,0.009762976,0.102481114
0.058147847,0.027427779,0.002824151,0.052795054,0.072958413,0.372136061,0.02386607,0.215766247,0.009681665,0.057075645,0.367890933,0.126952838,0.09693014,0.119272728,0.00899349,0.103616508
0.059162807,0.027575779,0.002835056,0.053646724,0.073200888,0.377469407,0.023858038,0.21752749,0.009726544,0.057502845,0.386335714,0.12671531,0.098400991,0.120402478,0.008284652,0.10476448
0.060195482,0.027724576,0.002846003,0.054512132,0.073444168,0.382879188,0.023850009,0.21930311,0.009771631,0.057933243,0.405705252,0.126478226,0.099894162,0.121542928,0.007631682,0.105925171
0.061246182,0.027874177,0.002856992,0.0553915,0.073688257,0.388366501,0.023841983,0.221093223,0.009816927,0.058366863,0.426045911,0.126241586,0.10140999,0.12269418,0.007030177,0.107098721
0.061769387,0.027941664,0.002861785,0.055827299,0.07381384,0.390435214,0.023837876,0.221986215,0.009837009,0.058583602,0.439550982,0.12611995,0.102151007,0.123266288,0.006620369,0.107679197
0.062297061,0.028009314,0.002866585,0.056266526,0.073939636,0.392514946,0.023833771,0.222882814,0.009857132,0.058801146,0.453484144,0.125998431,0.102897439,0.123841064,0.00623445,0.108262819
0.062829242,0.028077129,0.002871394,0.056709209,0.074065646,0.394605756,0.023829665,0.223783034,0.009877296,0.059019499,0.467858969,0.125877029,0.103649325,0.12441852,0.005871028,0.108849605
0.06336597,0.028145107,0.00287621,0.057155374,0.074191872,0.396707704,0.023825561,0.22468689,0.009897501,0.059238662,0.482689456,0.125755745,0.104406705,0.124998669,0.00552879,0.10943957
0.063907283,0.02821325,0.002881035,0.05760505,0.074318312,0.398820848,0.023821457,0.225594396,0.009917748,0.059458639,0.497990049,0.125634577,0.105169619,0.125581523,0.005206502,0.110032733
0.064177797,0.028244254,0.002883153,0.057833302,0.074383683,0.398799251,0.023819359,0.226052643,0.009926791,0.059569824,0.507475796,0.125572467,0.105551152,0.12587529,0.005005093,0.110331028
0.064449455,0.028275293,0.002885271,0.058062458,0.07444911,0.398777655,0.023817261,0.22651182,0.009935842,0.059681217,0.517142229,0.125510388,0.105934069,0.126169745,0.004811476,0.110630131
0.064722263,0.028306365,0.002887392,0.058292523,0.074514596,0.398756061,0.023815163,0.22697193,0.009944901,0.059792818,0.526992789,0.125448339,0.106318375,0.126464889,0.004625349,0.110930044
0.064996227,0.028337471,0.002889514,0.058523498,0.074580139,0.398734468,0.023813065,0.227432975,0.009953969,0.059904629,0.537030982,0.125386321,0.106704075,0.126760723,0.004446422,0.111230771
0.065271349,0.028368612,0.002891637,0.05875539,0.07464574,0.398712876,0.023810967,0.227894956,0.009963045,0.060016648,0.547260384,0.125324334,0.107091174,0.12705725,0.004274417,0.111532313
0.065410399,0.028382835,0.002892572,0.058874468,0.07467974,0.397980473,0.023809895,0.228129636,0.009967112,0.06007358,0.552262694,0.125292604,0.107286879,0.127207742,0.004174583,0.111685182
0.065549746,0.028397065,0.002893506,0.058993788,0.074713756,0.397249416,0.023808822,0.228364558,0.009971181,0.060130565,0.557310728,0.125260883,0.107482943,0.127358413,0.004077081,0.111838259
0.065689389,0.028411303,0.002894441,0.059113349,0.074747788,0.396519702,0.02380775,0.228599722,0.009975251,0.060187605,0.562404905,0.12522917,0.107679364,0.127509262,0.003981856,0.111991547
0.065829329,0.028425547,0.002895377,0.059233153,0.074781835,0.395791328,0.023806677,0.228835128,0.009979323,0.060244699,0.567545645,0.125197465,0.107876145,0.12766029,0.003888855,0.112145044
0.065969568,0.028439799,0.002896312,0.0593532,0.074815898,0.395064292,0.023805605,0.229070777,0.009983397,0.060301847,0.572733375,0.125165768,0.108073285,0.127811497,0.003798027,0.112298752
0.06604084,0.028446319,0.002896725,0.059415204,0.074833575,0.394449864,0.023805057,0.229190844,0.009985225,0.060330972,0.575343409,0.125149555,0.10817349,0.127888504,0.003748031,0.112376989
0.06611219,0.028452841,0.002897137,0.059477273,0.074851256,0.393836392,0.023804509,0.229310974,0.009987053,0.060360112,0.577965337,0.125133344,0.108273789,0.127965557,0.003698693,0.11245528
0.066183616,0.028459364,0.002897549,0.059539407,0.074868942,0.393223873,0.023803961,0.229431167,0.009988882,0.060389265,0.580599213,0.125117135,0.108374181,0.128042656,0.003650005,0.112533625
0.06625512,0.028465889,0.002897961,0.059601606,0.074886632,0.392612308,0.023803413,0.229551422,0.009990711,0.060418432,0.583245092,0.125100929,0.108474666,0.128119802,0.003601957,0.112612026
0.066326701,0.028472416,0.002898374,0.05966387,0.074904325,0.392001693,0.023802865,0.229671741,0.00999254,0.060447614,0.585903029,0.125084724,0.108575244,0.128196994,0.003554543,0.11269048
0.066363182,0.028475404,0.002898556,0.059696125,0.074913514,0.391688132,0.023802585,0.229733139,0.009993362,0.060462506,0.587258497,0.125076439,0.108626506,0.128236376,0.003529297,0.112730495
0.066399682,0.028478393,0.002898737,0.059728397,0.074922704,0.391374821,0.023802305,0.229794554,0.009994183,0.060477403,0.588617101,0.125068154,0.108677792,0.12827577,0.003504232,0.112770523
0.066436203,0.028481382,0.002898919,0.059760687,0.074931895,0.391061761,0.023802024,0.229855985,0.009995005,0.060492303,0.589978848,0.12505987,0.108729102,0.128315175,0.003479344,0.112810566
0.066472743,0.028484371,0.002899101,0.059792995,0.074941087,0.390748952,0.023801744,0.229917432,0.009995827,0.060507207,0.591343746,0.125051586,0.108780437,0.128354593,0.003454633,0.112850623
0.066509304,0.028487361,0.002899283,0.05982532,0.07495028,0.390436392,0.023801464,0.229978896,0.009996648,0.060522115,0.592711801,0.125043303,0.108831796,0.128394023,0.003430097,0.112890694
