US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0.9725,0.9762,0.968,0.9815,0.918,0.7984,0.9791,0.9218,0.98,0.8521,0.7523,0.8548,0.9418,0.935,0.9502,0.9564
0.971505108,0.974096703,0.963833964,0.96515978,0.920980307,0.79998778,0.968987827,0.91588705,0.978123792,0.868518869,0.776308767,0.839301665,0.943285492,0.929934111,0.947931341,0.953470939
0.970511234,0.971997937,0.959685858,0.949091595,0.923970289,0.801578717,0.958980092,0.910012029,0.976251175,0.885254109,0.801083746,0.82408433,0.944773328,0.924895669,0.945668098,0.950550849
0.969518377,0.969903693,0.955555605,0.933290916,0.926969978,0.803172818,0.949075718,0.904174694,0.974382144,0.902311815,0.826649388,0.809142899,0.94626351,0.919884525,0.943410259,0.947639702
0.968526535,0.967813961,0.951443127,0.917753291,0.929979406,0.804770089,0.939273637,0.898374802,0.972516691,0.919698202,0.853030929,0.794472371,0.947756042,0.914900532,0.94115781,0.94473747
0.967535708,0.965728732,0.947348348,0.902474339,0.932998605,0.806370537,0.929572791,0.892612115,0.97065481,0.937419601,0.880254404,0.780067833,0.949250929,0.909943543,0.93891074,0.941844127
0.965967557,0.965920592,0.949906267,0.897120545,0.930574979,0.790168805,0.93015163,0.879272099,0.971681936,0.934594434,0.864801113,0.767154213,0.944928915,0.904841863,0.934143664,0.936199114
0.964401949,0.966112489,0.952471093,0.891798511,0.928157649,0.774292601,0.930730829,0.866131449,0.972710148,0.93177778,0.849619113,0.75445437,0.940626579,0.899768785,0.929400791,0.930587934
0.962838877,0.966304425,0.955042844,0.886508049,0.925746599,0.758735385,0.931310388,0.853187185,0.973739449,0.928969616,0.834703639,0.741964768,0.936343833,0.89472415,0.924681999,0.925010386
0.961278339,0.966496399,0.957621539,0.881248972,0.923341811,0.743490746,0.931890309,0.840436372,0.974769838,0.926169914,0.820050014,0.729681924,0.932080586,0.889707799,0.919987165,0.919466267
0.95972033,0.966688411,0.960207196,0.876021094,0.920943271,0.728552406,0.932470591,0.827876118,0.975801318,0.92337865,0.80565364,0.717602416,0.92783675,0.884719572,0.915316169,0.913955377
0.956326796,0.966949592,0.962177293,0.879809497,0.920564153,0.718003799,0.933069153,0.82210786,0.976263334,0.922017596,0.78734583,0.718051404,0.922781841,0.881338068,0.914609484,0.908347235
0.952945262,0.967210842,0.964151432,0.883614284,0.920185192,0.707607924,0.933668099,0.816379792,0.976725567,0.920658547,0.76945405,0.718500672,0.917754471,0.87796949,0.913903346,0.902773506
0.949575685,0.967472164,0.966129622,0.887435525,0.919806386,0.69736257,0.93426743,0.810691634,0.97718802,0.919301501,0.751968845,0.718950222,0.912754491,0.874613786,0.913197752,0.897233977
0.946218022,0.967733556,0.96811187,0.891273291,0.919427737,0.687265557,0.934867145,0.805043109,0.977650692,0.917946456,0.734880978,0.719400053,0.907781751,0.871270908,0.912492704,0.89172844
0.942872232,0.967995018,0.970098185,0.895127654,0.919049243,0.677314736,0.935467246,0.79943394,0.978113583,0.916593408,0.718181418,0.719850165,0.902836103,0.867940807,0.911788199,0.886256686
