US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
4058.552503,285.1656448,141.1332319,308.2787837,202.25387,2614.854287,150.60123,93.54093823,114.1878642,698.4848895,51.8917716,162.5766667,138.577904,175.9526114,212.6554214,166.0692457
4130.182922,288.6313435,150.9368547,313.2501606,204.720293,2655.375981,160.9473797,96.06289467,152.7423483,696.7048832,58.39165731,164.5022916,141.5824008,188.7098215,224.5426583,169.2713911
4203.077565,292.1391619,161.4214725,318.3017071,207.2167932,2696.525628,172.0042994,98.65284556,204.3144002,694.9294129,65.70570898,166.4507244,144.6520379,202.3919761,237.0943804,172.5352803
4277.258744,295.6896118,172.6343897,323.434716,209.7437375,2738.312961,183.820818,101.3126241,273.2992821,693.1584673,73.93590783,168.4222352,147.7882275,217.0661371,250.3477319,175.8621037
4352.749165,299.2832113,184.6261965,328.6505011,212.3014971,2780.74786,196.4491194,104.0441129,365.576276,691.3920347,83.19700907,170.4170975,150.9924126,232.8042287,264.3419333,179.2530749
4429.571936,302.9204848,197.4509974,333.9503971,214.8904478,2823.840362,209.9449721,106.8492453,489.00975,689.6301037,93.61814201,172.4355877,154.2660674,249.6833897,279.1183973,182.7094307
4393.262742,307.6855924,212.5060325,353.72114,225.4900599,2835.195901,225.4875532,110.7397289,568.0857882,674.1959855,105.3975961,173.8906738,157.9169438,269.0081084,296.7242787,187.4510774
4357.251174,312.5256577,228.7089679,374.6623629,236.6125047,2846.597105,242.1807778,114.7718688,659.9489331,659.1072872,118.6591938,175.3580386,161.6542223,289.8285004,315.440682,192.3157786
4321.534793,317.4418599,246.1473277,396.8433613,248.2835715,2858.044156,260.1098301,118.9508227,766.6669425,644.3562783,133.5894252,176.8377856,165.4799475,312.260326,335.3376551,197.3067278
4286.111179,322.4353967,264.9153091,420.3375332,260.5303213,2869.537239,279.3662005,123.2819363,890.641944,629.9354012,150.3982452,178.3300194,169.3962127,336.4283053,356.4896647,202.4272013
4250.977933,327.5074847,285.1142917,445.2226219,273.38115,2881.076539,300.0481525,127.77075,1034.664505,615.8372674,169.3220262,179.8348453,173.4051607,362.4668111,378.9758742,207.6805605
4345.510392,334.2478263,297.6804962,460.3815616,290.4332029,2912.717965,319.4349024,134.19887,1208.326204,621.8793103,192.9934537,195.6243497,181.7271967,369.9488459,409.5873721,214.6381415
4442.145047,341.1268891,310.8005469,476.0566328,308.5488715,2944.706893,340.0742715,140.9503874,1411.135889,627.9806322,219.9741758,212.8001729,190.4486227,377.5853248,442.6714913,221.8288108
4540.928646,348.147528,324.4988544,492.2654089,327.7944986,2977.047139,362.0471941,148.0415722,1647.985859,634.1418149,250.7268362,231.4840339,199.5886061,385.3794357,478.4279558,229.2603774
4641.908976,355.3126567,338.8009048,509.0260613,348.2405649,3009.742563,385.4398341,155.4895131,1924.589555,640.3634455,285.7787562,251.8083385,209.1672342,393.3344326,517.0726226,236.9409116
4745.134887,362.625249,353.7333076,526.3573804,369.9619474,3042.797063,410.3439224,163.3121583,2247.619379,646.6461172,325.7309778,273.9171175,219.2055586,401.4536364,558.8387839,244.8787541
4868.872538,370.0192447,366.134766,544.9306627,386.0025464,3085.641496,436.6882439,170.7349441,2467.832517,651.1531123,362.7919167,289.6929855,226.5970095,419.8104468,590.6205134,254.2420918
4995.836863,377.5640053,378.9710045,564.1593302,402.7386246,3129.089205,464.7238864,178.4951068,2709.621294,655.6915203,404.0695659,306.3774423,234.2376946,439.006638,624.2097021,263.9634519
5126.112004,385.262605,392.2572658,584.0665091,420.2003361,3173.148683,494.5594336,186.6079807,2975.09961,660.2615601,450.0436934,324.0228167,242.1360181,459.0805914,659.7091422,274.0565241
5259.784296,393.1181806,406.0093273,604.6761415,438.4191425,3217.828546,526.3104406,195.0895971,3266.588474,664.8634522,501.2486538,342.6844514,250.3006673,480.0724435,697.2274714,284.5355214
