US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0.585,0.023,0.6758,0.9847,0.7291,0.7178,0.424,1,0.5489,0.984,0.746,0.9996,0.4805,0.8454,1,0.8076
0.553033059,0.022552215,0.636723001,0.986276147,0.733934094,0.744666523,0.436899036,0.979487029,0.580951785,0.945677411,0.774802368,0.993281842,0.498185609,0.797807627,0.930460498,0.763333822
0.52281293,0.022113147,0.599905565,0.987854817,0.73880024,0.772538632,0.450190491,0.95939484,0.614875162,0.908847323,0.804716769,0.987003618,0.516522166,0.752894499,0.865756739,0.721493961
0.494244161,0.021682628,0.565217034,0.989436014,0.743698649,0.801453966,0.463886301,0.939714801,0.650779418,0.873451609,0.835786137,0.980765077,0.535533631,0.710509787,0.805552447,0.681947428
0.467236513,0.02126049,0.532534309,0.991019742,0.748629535,0.831451572,0.477998769,0.920438458,0.688780223,0.839434406,0.868055064,0.974565969,0.555244845,0.670511151,0.749534731,0.644568519
0.44170468,0.020846571,0.501741409,0.992606005,0.753593114,0.862571957,0.492540569,0.90155753,0.729,0.806742028,0.901569865,0.968406042,0.575681563,0.632764266,0.697412459,0.609238424
0.430082858,0.019463075,0.487569891,0.993368975,0.755945725,0.873434649,0.497705107,0.893852093,0.729,0.792616503,0.912936455,0.965993776,0.582825948,0.615484232,0.672398097,0.593147272
0.418766821,0.018171395,0.473798644,0.994132531,0.758305681,0.884434139,0.502923798,0.886212513,0.729,0.778738306,0.924446349,0.963587518,0.590058997,0.598676096,0.648280934,0.577481118
0.407748523,0.016965438,0.46041636,0.994896674,0.760673004,0.895572149,0.50819721,0.878638227,0.729,0.765103107,0.936101355,0.961187254,0.59738181,0.582326969,0.625028791,0.562228737
0.397020132,0.015839516,0.447412055,0.995661404,0.763047717,0.906850425,0.513525916,0.871128677,0.729,0.751706652,0.947903302,0.95879297,0.604795502,0.566424318,0.602610642,0.547379201
0.386574018,0.014788316,0.434775052,0.996426722,0.765429844,0.918270733,0.518910496,0.86368331,0.729,0.73854476,0.959854043,0.956404649,0.6123012,0.550955949,0.580996573,0.532921869
0.382235592,0.013501635,0.429495525,0.996795734,0.766570501,0.922517126,0.520923895,0.860749137,0.704929027,0.733220989,0.963952971,0.95547939,0.615093386,0.544512071,0.571748996,0.52691568
0.377945855,0.012326904,0.424280108,0.997164883,0.767712857,0.926783156,0.522945107,0.857824932,0.681652858,0.727935595,0.968069404,0.954555026,0.617898305,0.53814356,0.56264861,0.520977182
0.373704261,0.011254382,0.419128023,0.997534169,0.768856916,0.931068914,0.524974161,0.854910661,0.659145248,0.7226883,0.972203415,0.953631557,0.620716015,0.531849534,0.553693072,0.515105613
0.36951027,0.010275177,0.4140385,0.997903591,0.77000268,0.93537449,0.527011087,0.852006291,0.637380821,0.717478831,0.97635508,0.952708981,0.623546573,0.525629122,0.544880078,0.509300219
