US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0.415,0.977,0.3242,0.0153,0.2709,0.2822,0.576,0,0.4511,0.016,0.254,0.0004,0.5195,0.1546,0,0.1924
0.440363459,0.972905065,0.353298153,0.01322906,0.265813952,0.244377198,0.56158856,0,0.407391647,0.026334403,0.209829216,0.000958449,0.498892324,0.183804686,0,0.221690164
0.467277052,0.968827294,0.385007974,0.011438432,0.260823392,0.211623723,0.547537692,0,0.367918319,0.043343797,0.173339763,0.002296559,0.47910212,0.218526277,0,0.255439339
0.495835515,0.964766613,0.419563869,0.009890177,0.255926529,0.183260143,0.533838375,0,0.332269674,0.071339563,0.143195853,0.005502834,0.460096959,0.259806945,0,0.294326346
0.52613938,0.960722953,0.457221284,0.008551486,0.251121602,0.158698087,0.520481813,0,0.300075127,0.117417798,0.11829399,0.013185458,0.4418457,0.30888573,0,0.339133347
0.55829532,0.956696241,0.498258591,0.007393995,0.246406886,0.137428043,0.507459431,0.09844247,0.271,0.193257972,0.09772258,0.031593958,0.424318437,0.367235734,0.302587541,0.390761576
0.568910073,0.957225246,0.510984941,0.006393176,0.243992695,0.123861351,0.502072274,0.105064454,0.271,0.205300215,0.080728552,0.03369545,0.416727743,0.382308309,0.322941865,0.404955581
0.579726642,0.957754544,0.524036342,0.005527824,0.241602157,0.111633942,0.496742307,0.112131882,0.271,0.218092831,0.066689798,0.035936725,0.409272839,0.397999512,0.344665374,0.419665169
0.590748864,0.958284135,0.537421098,0.004779602,0.23923504,0.100613605,0.491468922,0.11967472,0.271,0.231682578,0.055092394,0.038327079,0.401951298,0.414334734,0.36785017,0.434909066
0.601980649,0.958814018,0.551147723,0.004132656,0.236891116,0.090681179,0.486251519,0.127724946,0.271,0.246119126,0.045511787,0.040876429,0.394760732,0.431340408,0.392594552,0.450706683
0.613425982,0.959344195,0.565224948,0.003573278,0.234570156,0.081729267,0.481089504,0.13631669,0.271,0.26145524,0.037597254,0.043595351,0.3876988,0.449044051,0.419003427,0.467078131
0.617610632,0.959301837,0.570286341,0.003089615,0.233414769,0.076906949,0.479043084,0.139113824,0.290513194,0.266504021,0.031059064,0.044482014,0.384839157,0.455169536,0.427601117,0.47280813
0.621823829,0.959259481,0.575393057,0.002671418,0.232265072,0.072369164,0.477005369,0.141968353,0.311431423,0.271650295,0.025657871,0.04538671,0.382000606,0.461378579,0.436375226,0.478608424
0.626065767,0.959217127,0.580545502,0.002309827,0.231121038,0.068099125,0.474976321,0.144881456,0.333855858,0.276895945,0.021195948,0.046309805,0.379182993,0.467672321,0.445329374,0.484479875
0.630336643,0.959174774,0.585744085,0.001997179,0.22998264,0.064081033,0.472955905,0.147854333,0.35789495,0.282242891,0.017509958,0.047251676,0.376386162,0.474051917,0.454467256,0.490423354
0.634636654,0.959132424,0.59098922,0.00172685,0.228849848,0.060300023,0.470944082,0.150888212,0.383664963,0.287693087,0.014464963,0.048212702,0.37360996,0.480518538,0.463792642,0.496439747
0.636260419,0.959116128,0.592958533,0.001493111,0.228294269,0.058552741,0.470160822,0.151993144,0.391750176,0.289684254,0.011949496,0.04856287,0.37251952,0.482916353,0.467188927,0.498678746
0.637888339,0.959099833,0.594934408,0.00129101,0.227740039,0.056856088,0.469378865,0.153106168,0.400005773,0.291689203,0.00987147,0.04891558,0.371432264,0.485326132,0.470610083,0.500927842
0.639520424,0.959083537,0.596916868,0.001116265,0.227187154,0.055208599,0.468598208,0.154227342,0.408435346,0.293708028,0.008154814,0.049270852,0.37034818,0.487747937,0.474056291,0.503187082
0.641156685,0.959067243,0.598905933,0.000965172,0.226635612,0.053608848,0.46781885,0.155356726,0.417042561,0.295740826,0.006736686,0.049628705,0.369267261,0.490181827,0.477527736,0.505456511
0.642797132,0.959050948,0.600901626,0.000834531,0.226085408,0.052055452,0.467040788,0.15649438,0.425831161,0.297787693,0.005565171,0.049989157,0.368189496,0.492627861,0.481024601,0.507736176
0.643423833,0.959044679,0.601662426,0.000721572,0.225817582,0.051405005,0.466740054,0.156923399,0.428941627,0.298560422,0.004597384,0.050125108,0.36777146,0.493556131,0.482343297,0.508602441
0.644051144,0.959038409,0.60242419,0.000623903,0.225550072,0.050762685,0.466439514,0.157353594,0.432074814,0.299335155,0.003797896,0.050261429,0.367353898,0.494486151,0.483665608,0.509470183
0.644679067,0.95903214,0.603186917,0.000539455,0.22528288,0.050128391,0.466139168,0.157784968,0.435230887,0.300111898,0.003137439,0.050398121,0.366936811,0.495417922,0.484991545,0.510339406
0.645307602,0.959025871,0.603950611,0.000466436,0.225016004,0.049502022,0.465839015,0.158217524,0.438410013,0.300890658,0.002591836,0.050535184,0.366520197,0.49635145,0.486321116,0.511210111
0.64593675,0.959019601,0.604715271,0.000403302,0.224749444,0.048883481,0.465539055,0.158651267,0.441612361,0.301671437,0.002141114,0.05067262,0.366104056,0.497286737,0.487654332,0.512082303
0.646178154,0.959017189,0.605008435,0.000348712,0.22462017,0.048636933,0.465423444,0.158816887,0.442787352,0.301969689,0.001768773,0.050725102,0.365943447,0.497644707,0.488163405,0.512416288
0.646419647,0.959014777,0.605301741,0.000301512,0.22449097,0.048391628,0.465307862,0.158982679,0.443965469,0.302268236,0.001461182,0.050777638,0.365782909,0.498002935,0.48867301,0.512750491
0.646661231,0.959012365,0.605595189,0.000260701,0.224361844,0.048147561,0.465192308,0.159148645,0.445146721,0.302567078,0.001207081,0.050830228,0.365622441,0.498361421,0.489183146,0.513084912
0.646902906,0.959009953,0.60588878,0.000225414,0.224232793,0.047904725,0.465076783,0.159314783,0.446331116,0.302866215,0.000997169,0.050882873,0.365462043,0.498720165,0.489693816,0.513419551
0.64714467,0.959007541,0.606182512,0.000194903,0.224103816,0.047663114,0.464961287,0.159481096,0.447518662,0.303165648,0.00082376,0.050935572,0.365301716,0.499079167,0.490205018,0.513754408
0.647237589,0.959006613,0.60629537,0.000168521,0.224041379,0.047568838,0.464916821,0.159544897,0.447959891,0.303280536,0.000680508,0.05095579,0.365239957,0.499217013,0.490401129,0.513883007
0.647330521,0.959005685,0.606408249,0.000145711,0.223978959,0.047474749,0.464872359,0.159608725,0.448401556,0.303395467,0.000562167,0.050976015,0.365178209,0.499354897,0.490597317,0.514011638
0.647423467,0.959004757,0.606521148,0.000125988,0.223916557,0.047380846,0.464827902,0.159672577,0.448843656,0.303510442,0.000464406,0.050996248,0.365116471,0.499492819,0.490793585,0.514140301
0.647516426,0.959003829,0.606634069,0.000108935,0.223854172,0.047287128,0.464783449,0.159736456,0.449286192,0.30362546,0.000383645,0.05101649,0.365054744,0.499630779,0.490989931,0.514268997
