US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
75.56977209,32.11894727,40.33477281,9.061,53.7663267,265.1561819,25.23622991,9.245686911,99.32018606,33.13495021,14.26507694,5.445636339,31.15971056,106.352524,18.773013,67.88043424
77.11707277,33.15829633,40.74509963,8.730195201,54.87917259,271.0990703,25.772469,10.26886109,109.3070007,32.77985095,14.93360546,5.869863757,32.43890283,110.1405119,20.19108117,68.89431728
78.69605464,34.23127808,41.15960071,8.411467636,56.01505197,277.1751554,26.32010251,11.40526486,120.2980067,32.4285572,15.63346438,6.327139453,33.77060948,114.0634177,21.71626679,69.923344
80.30736635,35.33898085,41.57831853,8.104376381,57.17444158,283.3874224,26.87937257,12.66742879,132.3941771,32.08102818,16.36612197,6.820037962,35.15698637,118.1260468,23.35666125,70.96774057
81.95166988,36.48252819,42.00129597,7.808496611,58.35782803,289.7389237,27.45052643,14.06927012,145.7066382,31.73722354,17.13311533,7.351334383,36.60027787,122.3333756,25.12096716,72.02773657
83.62964073,37.66308,42.42857638,7.523419009,59.565708,296.2327797,28.03381662,15.62624626,160.35769,31.39710338,17.93605361,7.92402,38.10282048,126.6905581,27.01854449,73.103565
89.48261106,38.7521149,42.80965065,7.406773855,62.67244238,301.7477213,28.5595945,16.36963977,174.7305916,30.87758485,20.8858821,8.262742775,38.35537026,131.3918115,30.21594052,74.11881396
95.74521201,39.87263944,43.19414756,7.291937201,65.94121291,307.3653342,29.09523341,17.14839903,190.3917401,30.36666263,24.3208501,8.615944706,38.60959397,136.2675197,33.79171893,75.14816252
102.4461123,41.02556415,43.58209785,7.178881005,69.38047083,313.0875297,29.6409183,17.96420651,207.4566014,29.8641945,28.3207454,8.984244723,38.86550271,141.3241566,37.7906578,76.19180648
109.6159871,42.2118259,43.97353253,7.067577664,72.99910815,318.9162548,30.19683758,18.81882471,226.0509907,29.37004055,32.978478,9.368288215,39.12310764,146.5684359,42.26283427,77.24994438
117.2876585,43.43238862,44.3684829,6.958,76.80648065,324.8534928,30.7631832,19.7141,246.312,28.88406323,38.40223822,9.768748156,39.38242,152.0073207,47.26425167,78.3227775
118.7783641,43.78256405,45.99897761,7.060119612,81.24297366,324.3246357,31.10389522,20.11344258,256.9044828,28.86096506,43.05655591,10.60273365,39.89950024,154.76148,50.81370831,80.58204432
120.2880163,44.13556279,47.68939127,7.16373799,85.93572721,323.7966395,31.44838074,20.52087451,267.9524882,28.83788537,48.27497284,11.50791882,40.4233696,157.5655407,54.6297225,82.90648104
121.8168559,44.49140759,49.44192585,7.268877131,90.89954342,323.269503,31.79668154,20.93655968,279.4756057,28.81482413,54.12585734,12.4903822,40.95411722,160.4204071,58.73231219,85.2979675
123.3651268,44.8501214,51.25886421,7.375559355,96.15007939,322.7432245,32.14883989,21.36066525,291.4942672,28.79178133,60.68586392,13.55672124,41.49183341,163.3269997,63.14299867,87.7584378
124.9330759,45.21172736,53.14257313,7.483807308,101.7038966,322.2178029,32.5048985,21.7933618,304.0297832,28.76875697,68.04093757,14.71409664,42.03660967,166.2862557,67.88491943,90.28988183
126.99814,45.60485672,54.76418538,7.656814928,105.9128136,322.4338622,32.86400561,22.24780096,327.4277285,28.69935585,74.39825104,15.57238652,42.50396253,172.7998209,71.52957406,93.08388442
129.0973382,46.00140445,56.4352801,7.833822068,110.2959126,322.6500664,33.22708006,22.71171616,352.6263654,28.63012215,81.34955155,16.48074142,42.97651131,179.5685276,75.36990554,95.96434687
131.2312348,46.40140028,58.15736723,8.014921187,114.8604019,322.8664155,33.59416567,23.18530501,379.7642738,28.56105547,88.95033748,17.44208169,43.45431377,186.6023701,79.41641952,98.93394466
133.4004034,46.80487419,59.93200277,8.200206882,119.6137881,323.0829097,33.96530677,23.66876922,408.990699,28.49215541,97.26129261,18.45949802,43.93742832,193.9117337,83.68018566,101.9954361
135.6054269,47.21185643,61.76079019,8.389775936,124.5638886,323.2995491,34.34054816,24.16231472,440.466372,28.42342156,106.3487707,19.5362614,44.42591403,201.5074109,88.17286796,105.1516647
137.388864,47.55749422,63.65571557,8.502040895,129.4460502,327.5398085,34.73592903,24.63462668,461.7793582,28.31773234,113.4064659,20.38408252,44.87567586,210.1444688,92.38850655,108.7026954
139.1957563,47.90566242,65.60878046,8.61580809,134.5195635,331.8356813,35.13586213,25.11617115,484.1236226,28.21243611,120.9325358,21.2686968,45.32999102,219.1517304,96.80569931,112.3736464
141.0264122,48.25637956,67.62176868,8.731097622,139.7919283,336.1878969,35.54039986,25.60712859,507.5490661,28.10753141,128.9580634,22.19170096,45.7889056,228.5450633,101.4340827,116.1685675
142.8811443,48.6096643,69.69651877,8.847929862,145.2709383,340.5971944,35.94959526,26.107683,532.108004,28.00301679,137.5161944,23.15476101,46.25246617,238.3410155,106.2837541,120.0916452
144.7602692,48.96553543,71.83492571,8.966325454,150.9646929,345.0643223,36.36350194,26.61802198,557.8552829,27.89889079,146.6422745,24.15961527,46.72071976,248.556844,111.3652934,124.1472075
146.3349693,49.32513131,73.98708653,9.064898051,156.5475679,345.6423466,36.77558567,27.11904245,581.0935868,27.76719732,154.6582344,24.9032936,47.15653509,259.0999634,116.2487725,128.6195356
147.9267989,49.687368,76.20372568,9.16455432,162.336905,346.2213392,37.19233927,27.62949343,605.2999173,27.63612549,163.1123737,25.66986374,47.59641575,270.0902939,121.346397,133.2529766
149.5359445,50.05226491,78.48677492,9.265306176,168.3403394,346.8013017,37.61381567,28.14955243,630.514599,27.50567237,172.0286447,26.46003035,48.04039965,281.5468049,126.6675574,138.0533346
151.1625943,50.41984157,80.83822388,9.367165661,174.5657889,347.3822357,38.04006838,28.67940029,656.7796364,27.37583504,181.432309,27.27451977,48.48852508,293.4892705,132.222056,143.0266226
152.8069388,50.79011766,83.26012182,9.470144953,181.0214638,347.9641428,38.47115154,29.21922126,684.1387835,27.2466106,191.3500093,28.11408071,48.94083066,305.9383038,138.0201249,148.1790702
154.2088082,51.19745087,85.63399845,9.557436476,187.2476661,352.2921796,38.84968991,29.71965818,706.6113071,27.09855887,199.558863,28.73170538,49.37784179,318.4729738,143.3340287,153.7633956
155.6235385,51.60805086,88.07555803,9.645532612,193.6880176,356.6740492,39.23195291,30.22866607,729.822006,26.95131162,208.1198738,29.36289836,49.81875516,331.5212046,148.8525227,159.5581736
157.0512477,52.02194384,90.58673031,9.734440779,200.3498839,361.1104213,39.61797721,30.74639173,753.7951276,26.80486448,217.0481493,30.0079577,50.26360561,345.1040376,154.5834839,165.5713356
