US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0.585,0.2706,0.6758,0.9847,0.7291,1,0.424,1,1,0.984,0.746,0.9996,0.9841,0.8454,1,0.8076
0.594136018,0.296379201,0.680328774,0.986276147,0.749272779,1,0.461978205,0.999630568,1,0.945677411,0.774923943,0.999612305,0.9841,0.857873207,1,0.807513844
0.603414715,0.324614305,0.684887897,0.987854817,0.7700037,1,0.503358164,0.999261272,1,0.908847323,0.804969327,0.99962461,0.9841,0.870530446,1,0.807427698
0.612838318,0.355539277,0.689477573,0.989436014,0.791308206,1,0.548444578,0.998892113,1,0.873451609,0.836179632,0.999636915,0.9841,0.883374433,1,0.807341561
0.622409091,0.389410373,0.694098005,0.991019742,0.813202165,1,0.597569438,0.99852309,1,0.839434406,0.868600024,0.999649221,0.9841,0.896407923,1,0.807255433
0.632129332,0.426508261,0.698749401,0.992606005,0.835701888,1,0.651094472,0.998154204,1,0.806742028,0.90227742,0.999661527,0.9841,0.909633711,1,0.807169314
0.635714882,0.444751475,0.700506428,0.993368975,0.845760282,1,0.667699815,0.998012135,1,0.792616503,0.913994205,0.999666261,0.9841,0.914523444,1,0.807136172
0.639320769,0.463775013,0.702267873,0.994132531,0.855939737,1,0.684728657,0.997870086,1,0.778738306,0.925863141,0.999670995,0.9841,0.919439462,1,0.80710303
0.64294711,0.483612253,0.704033747,0.994896674,0.866241711,1,0.702191798,0.997728058,1,0.765103107,0.937886204,0.999675729,0.9841,0.924381906,1,0.80706989
0.64659402,0.504298,0.705804062,0.995661404,0.876667678,1,0.720100314,0.99758605,1,0.751706652,0.950065397,0.999680464,0.9841,0.929350918,1,0.807036752
0.650261615,0.525868546,0.707578828,0.996426722,0.88721913,1,0.738465565,0.997444062,1,0.73854476,0.962402746,0.999685198,0.9841,0.93434664,1,0.807003614
0.65165089,0.533765463,0.708256925,0.996795734,0.892143485,1,0.745069331,0.997389413,1,0.733220989,0.966985354,0.999687019,0.9841,0.936240531,1,0.806990864
0.653043132,0.541780967,0.708935671,0.997164883,0.897095172,1,0.751732151,0.997334767,1,0.727935595,0.971589784,0.999688841,0.9841,0.93813826,1,0.806978114
0.654438349,0.549916839,0.709615067,0.997534169,0.902074343,1,0.758454554,0.997280123,1,0.7226883,0.976216137,0.999690662,0.9841,0.940039836,1,0.806965364
0.655836547,0.558174886,0.710295115,0.997903591,0.907081149,1,0.765237073,0.997225483,1,0.717478831,0.98086452,0.999692484,0.9841,0.941945266,1,0.806952614
