US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
113.3003402,18.22061382,14.89283007,11.22261111,38.00769145,89.71935872,28.19496031,6.049807306,60.92071419,215.9338719,5.445688143,31.49193542,7.162595707,49.59753168,13.64496626,67.13620431
115.707104,17.78902419,14.87333248,10.64465311,38.4431175,91.73021938,28.79406881,6.288083537,63.8520203,212.4937999,5.936114106,32.94835008,7.40018352,52.39757343,14.67567413,67.50794619
118.1649931,17.36765757,14.85386042,10.0964596,38.8835319,93.78614902,29.40590763,6.535744457,66.92437131,209.1085321,6.470706686,34.47211987,7.645652272,55.35569226,15.78423919,67.88174645
120.6750935,16.95627181,14.83441385,9.576497753,39.32899181,95.88815777,30.03074728,6.79315969,70.14455382,205.7771955,7.053443427,36.06635979,7.899263376,58.48081248,16.97654259,68.25761649
123.2385143,16.55463051,14.81499274,9.083313638,39.77955502,98.0372784,30.66886401,7.060713416,73.51968102,202.4989308,7.688660078,37.73432889,8.161286921,61.78236219,18.25890971,68.63556777
125.8563881,16.16250283,14.79559706,8.615528219,40.23528,100.2345668,31.32053995,7.338804947,77.05720833,199.2728927,8.381082857,39.47943692,8.432001952,65.27030175,19.63814375,69.01561182
134.6468527,16.23666197,14.92848441,8.268163336,42.1162847,102.1006256,31.95844828,7.706672833,81.57742602,196.3931831,9.476209612,41.1948223,8.401590121,67.5501055,21.9656818,69.95814829
144.0512891,16.31116138,15.06256531,7.934803673,44.08522662,104.0014246,32.60934895,8.092980613,86.36280212,193.5550884,10.71443275,42.98474134,8.371287976,69.90953972,24.56908266,70.91355684
154.1125802,16.38600261,15.19785045,7.614884559,46.14621683,105.9376107,33.27350658,8.498652611,91.42889099,190.7580073,12.11445016,44.85243253,8.341095123,72.35138579,27.48104193,71.88201328
164.8766042,16.46118725,15.33435067,7.307864094,48.30355861,107.9098426,33.95119117,8.924659488,96.79215937,188.001347,13.69740295,46.80127509,8.311011166,74.87852227,30.73813037,72.86369579
176.3924436,16.53671685,15.47207686,7.013222222,50.56175641,109.9187914,34.64267822,9.372020556,102.47004,185.2845235,15.48719464,48.83479504,8.281035714,77.49392822,34.38125311,73.858785
178.6343607,16.67004481,16.04065929,7.126311024,53.48230266,111.5842098,35.02635688,9.561866748,107.6232066,185.1363542,17.08846628,53.00395877,8.389763414,78.89800941,36.96322073,75.98928532
180.9047721,16.80444774,16.63013651,7.241223393,56.57154539,113.2748616,35.41428491,9.755558598,113.0355234,184.9883033,18.85529862,57.52905572,8.499918679,80.32753058,39.73908928,78.18124118
183.2040401,16.9399343,17.2412764,7.357988733,59.83922884,114.991129,35.80650936,9.953174005,118.7200229,184.8403708,20.80480952,62.44047293,8.611520251,81.78295266,42.72342034,80.43642531
185.5325313,17.07651322,17.87487503,7.476636925,63.2956601,116.7334002,36.20307782,10.15479245,124.6903929,184.6925567,22.95588673,67.77119162,8.724587121,83.26474495,45.93186907,82.75666156
187.8906173,17.21419331,18.53175774,7.597198328,66.95174161,118.5020692,36.60403841,10.36049501,130.9610099,184.5448607,25.32937083,73.55700876,8.839138528,84.77338524,49.38126629,85.14382639
190.9963293,17.36387582,19.09724269,7.759790233,69.72247444,120.2958272,37.00843193,10.57653395,138.0411872,184.0996688,27.288515,77.84767218,8.937409933,88.09402633,52.03248341,87.77858531
