US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.077037764,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.093044286,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.112376563,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.135725605,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.163925993,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.197985718,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.216164266,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.236011922,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.25768194,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.281341645,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.307173723,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.319257293,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.331816204,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.344869158,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.358435586,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.37253569,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.379757354,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.387119011,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.394623375,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.402273213,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.410071343,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.414043896,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.418054932,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.422104825,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.426193951,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.430322691,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.432434509,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.434556691,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.436689288,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.43883235,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.440985929,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.442092609,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.443202067,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.444314308,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.445429341,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.446547172,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.447120735,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.447695034,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.44827007,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.448845846,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.449422361,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.449719265,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.450016366,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.450313663,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.450611156,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.450908846,0,0,0,0,0
