US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.75622778,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.762507273,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.76883891,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.775223122,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.781660347,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.762361293,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.743538729,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.72518089,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.707276303,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.689813777,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.662955547,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.637143056,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.612335585,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.588494006,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.56558071,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.546727925,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.52850357,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.510886696,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.493857054,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.47739507,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.467092793,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.457012841,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.447150416,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.437500824,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.428059472,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.422654286,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.417317352,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.412047808,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.406844804,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.401707499,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.398905216,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.396122481,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.393359158,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.390615113,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.387890209,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.386441041,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.384997287,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.383558926,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.38212594,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.380698307,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.379951735,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.379206627,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.378462981,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.377720793,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.37698006,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.376594803,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.37620994,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.375825471,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.375441394,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.375057709,1,1,1,1,1
