US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
0,0,0,0,0,0,0,0,0,0,85.44333672,0,0,89.43238439,0,0
0,0,0,0,0,0,0,0,0,0,88.13867964,0,0,95.00872896,0,0
0,0,0,0,0,0,0,0,0,0,90.91904819,0,0,100.9327733,0,0
0,0,0,0,0,0,0,0,0,0,93.78712454,0,0,107.2261974,0,0
0,0,0,0,0,0,0,0,0,0,96.74567546,0,0,113.912033,0,0
0,0,0,0,0,0,0,0,0,0,99.797555,0,0,121.0147481,0,0
0,0,0,0,0,0,0,0,0,0,105.4432953,0,0,121.623984,0,0
0,0,0,0,0,0,0,0,0,0,111.4084261,0,0,122.236287,0,0
0,0,0,0,0,0,0,0,0,0,117.7110158,0,0,122.8516726,0,0
0,0,0,0,0,0,0,0,0,0,124.3701552,0,0,123.4701563,0,0
0,0,0,0,0,0,0,0,0,0,131.406015,0,0,124.0917537,0,0
0,0,0,0,0,0,0,0,0,0,143.8813552,0,0,125.0428173,0,0
0,0,0,0,0,0,0,0,0,0,157.5410713,0,0,126.00117,0,0
0,0,0,0,0,0,0,0,0,0,172.4976048,0,0,126.9668678,0,0
0,0,0,0,0,0,0,0,0,0,188.8740721,0,0,127.9399668,0,0
0,0,0,0,0,0,0,0,0,0,206.805278,0,0,128.9205238,0,0
0,0,0,0,0,0,0,0,0,0,221.1151587,0,0,131.2208226,0,0
0,0,0,0,0,0,0,0,0,0,236.4152109,0,0,133.562165,0,0
0,0,0,0,0,0,0,0,0,0,252.7739494,0,0,135.9452834,0,0
0,0,0,0,0,0,0,0,0,0,270.26463,0,0,138.3709233,0,0
0,0,0,0,0,0,0,0,0,0,288.9655774,0,0,140.8398432,0,0
0,0,0,0,0,0,0,0,0,0,301.5449337,0,0,144.0034237,0,0
0,0,0,0,0,0,0,0,0,0,314.6718992,0,0,147.2380653,0,0
0,0,0,0,0,0,0,0,0,0,328.3703126,0,0,150.5453642,0,0
0,0,0,0,0,0,0,0,0,0,342.6650504,0,0,153.9269525,0,0
0,0,0,0,0,0,0,0,0,0,357.582072,0,0,157.3844989,0,0
0,0,0,0,0,0,0,0,0,0,370.1836037,0,0,161.3640293,0,0
0,0,0,0,0,0,0,0,0,0,383.2292254,0,0,165.4441838,0,0
0,0,0,0,0,0,0,0,0,0,396.7345871,0,0,169.6275066,0,0
0,0,0,0,0,0,0,0,0,0,410.7158906,0,0,173.9166064,0,0
0,0,0,0,0,0,0,0,0,0,425.1899085,0,0,178.3141578,0,0
0,0,0,0,0,0,0,0,0,0,432.4036459,0,0,183.16131,0,0
0,0,0,0,0,0,0,0,0,0,439.7397711,0,0,188.1402235,0,0
0,0,0,0,0,0,0,0,0,0,447.2003603,0,0,193.2544797,0,0
0,0,0,0,0,0,0,0,0,0,454.7875253,0,0,198.507758,0,0
0,0,0,0,0,0,0,0,0,0,462.5034135,0,0,203.9038372,0,0
0,0,0,0,0,0,0,0,0,0,471.7637564,0,0,209.8934541,0,0
0,0,0,0,0,0,0,0,0,0,481.209512,0,0,216.0590143,0,0
0,0,0,0,0,0,0,0,0,0,490.8443924,0,0,222.4056861,0,0
0,0,0,0,0,0,0,0,0,0,500.6721846,0,0,228.9387895,0,0
0,0,0,0,0,0,0,0,0,0,510.6967509,0,0,235.663801,0,0
0,0,0,0,0,0,0,0,0,0,522.0916754,0,0,242.8154949,0,0
0,0,0,0,0,0,0,0,0,0,533.7408492,0,0,250.1842215,0,0
0,0,0,0,0,0,0,0,0,0,545.6499454,0,0,257.7765669,0,0
0,0,0,0,0,0,0,0,0,0,557.8247632,0,0,265.5993173,0,0
0,0,0,0,0,0,0,0,0,0,570.2712318,0,0,273.659465,0,0
0,0,0,0,0,0,0,0,0,0,583.8985753,0,0,282.0094136,0,0
0,0,0,0,0,0,0,0,0,0,597.8515611,0,0,290.6141374,0,0
0,0,0,0,0,0,0,0,0,0,612.1379709,0,0,299.4814102,0,0
0,0,0,0,0,0,0,0,0,0,626.7657724,0,0,308.6192429,0,0
0,0,0,0,0,0,0,0,0,0,641.7431234,0,0,318.0358908,0,0
