US,Canada,Mexico,Brazil,LA-31,EU-28,Russia,Non-EU-Europe,China,Japan,India,South_Korea,Australia,Asia-Pacific-40,Middle_East,Africa
16.98365432,1.609838516,2.985051435,25.77379579,40.63632523,99.09326551,9.242737248,4.54646583,155.7175418,68.39400728,293.2135235,8.588863636,1.520603152,267.3215272,10.67018115,21.87190459
16.91531905,1.72909114,3.43489335,28.96990382,43.68570245,101.5533883,9.877703802,4.651834813,185.6734552,67.21959482,321.5193096,8.609575323,1.547498315,292.8326526,11.32429137,23.30092909
16.84725872,1.857177687,3.952525637,32.56234875,46.963907,104.0745869,10.5562919,4.75964583,221.3920895,66.06534851,352.5576351,8.630336954,1.574869177,320.7783651,12.01850026,24.82332045
16.77947225,1.99475255,4.548164185,36.60027878,50.48811022,106.6583777,11.28149831,4.869955476,263.9820391,64.9309221,386.5922896,8.651148652,1.602724152,351.391003,12.75526599,26.44517889
16.71195851,2.142518598,5.233564396,41.13893679,54.27677203,109.3063145,12.05652566,4.982821662,314.7651622,63.81597523,423.9125281,8.672010536,1.631071803,384.9250774,13.53719741,28.1730032
16.64471643,2.301230769,6.022253195,46.24041609,58.34973757,112.0199898,12.88479658,5.098303636,375.3176074,62.72017342,464.8355292,8.692922727,1.659920844,421.6593877,14.36706327,30.01371678
18.7152811,2.415820788,6.944209741,53.88729419,66.55080754,111.5326165,13.08276557,5.402746591,390.2320152,62.33479308,507.5575119,8.778146911,1.664421486,462.263001,15.72353509,31.40185852
21.04341927,2.536116829,8.007310117,62.79875312,75.9045399,111.0473636,13.28377625,5.725369222,405.7390931,61.95178068,554.2059755,8.864206621,1.66893433,506.7765318,17.20807872,32.85420215
23.66117252,2.662403023,9.233162259,73.18391939,86.57294165,110.5642219,13.48787537,6.067257122,421.8623929,61.57112168,605.1417939,8.951110048,1.673459411,555.5764849,18.83278611,34.37371703
26.60456828,2.794977651,10.6466821,85.28650317,98.74078988,110.0831823,13.69511038,6.429560707,438.6264019,61.19280161,660.7590082,9.038865464,1.677996761,609.0756205,20.61089088,35.96350984
29.91411574,2.934153846,12.2766,99.39051753,112.6188322,109.6042355,13.90552946,6.813499091,456.0565807,60.81680611,721.487875,9.127481221,1.682546413,667.7264456,22.55687609,37.62683096
30.50443883,2.987179811,12.74460225,101.9750284,118.2259385,123.9768395,14.69877331,7.108254232,479.8302928,61.21162582,789.9840295,9.843148663,1.753472921,676.9767909,24.16423348,38.56190482
