China LDV,China HDT,U.S. LDV,U.S. HDT,Brazil LDV,Brazil HDT,India LDV,India HDT,Canada LDV,Mexico LDV,Rail,Aviation,India MCs,MCs
0.133110454,0.16919561,0.118112624,0.166831445,0.106941422,0.121975738,0.110529122,0.112549179,0.132181934,0.131105545,0.114451453,0.059081473,0.125680406,0.168907081
0.120516524,0.143590058,0.106937917,0.141583756,0.101736851,0.113568357,0.103466263,0.105454217,0.119549662,0.122163398,0.102752096,0.057242207,0.117514761,0.152926273
0.109106839,0.121857874,0.096820455,0.120157737,0.096368238,0.103776737,0.096544659,0.098376617,0.107707403,0.112121165,0.092174205,0.055460198,0.109092251,0.138434699
0.098737701,0.103400137,0.087660213,0.101511027,0.090677789,0.093679158,0.089670743,0.091250261,0.096498565,0.101965027,0.082589017,0.053733665,0.100270719,0.125116504
0.089240498,0.087694466,0.079366626,0.08518147,0.084594591,0.08373238,0.082784598,0.084041697,0.085865932,0.091685075,0.073894789,0.052060881,0.091051444,0.112272357
0.080419708,0.074279932,0.071488276,0.071068626,0.078109684,0.074195758,0.075858971,0.076749562,0.0758022,0.081369317,0.066006555,0.050440173,0.081528914,0.098589891
0.07205983,0.062756986,0.063819641,0.058983677,0.071266442,0.065220428,0.068897765,0.069403057,0.066327841,0.071154585,0.058851415,0.048869918,0.071863779,0.082211965
0.063941349,0.052773034,0.056505891,0.048709539,0.06415305,0.056892309,0.061933659,0.062059046,0.057477094,0.061204518,0.05236564,0.047348548,0.062259144,0.06166244
0.055867392,0.044037329,0.049636361,0.040035846,0.056893628,0.049254049,0.055024443,0.054797452,0.049287885,0.05169346,0.046492716,0.044498232,0.052936946,0.038059888
0.047702344,0.036308354,0.043268505,0.032754661,0.04963718,0.042318893,0.048247839,0.04771492,0.041794307,0.042791432,0.041181925,0.042667405,0.044114749,0.016873398
0.039419638,0.029413443,0.037435519,0.026679627,0.04254506,0.036079934,0.041694853,0.040916979,0.035021115,0.034650489,0.036387302,0.040042643,0.035984694,0.004410459
0.031147126,0.023241249,0.032151046,0.021637591,0.035777134,0.030516031,0.035461953,0.034509227,0.028980047,0.027391501,0.032066838,0.03753251,0.028696606,0.000516241
0.023186457,0.017748669,0.027412888,0.017474642,0.029478442,0.025596382,0.029642664,0.028588343,0.023667837,0.021094451,0.02818188,0.035531283,0.022346995,1.86749E-05
0.015975777,0.01295179,0.023206245,0.014053725,0.023767684,0.021283507,0.024319345,0.023233848,0.019065771,0.015791799,0.024696663,0.033599416,0.016974892,1.28337E-07
0.009977144,0.00890934,0.019506612,0.011257243,0.018728428,0.017535758,0.01955604,0.018501575,0.015140592,0.011466981,0.021577951,0.031727808,0.012564444,8.97319E-11
0.005511396,0.005680873,0.016282384,0.008977539,0.014404732,0.01430853,0.015393214,0.014419625,0.011846487,0.008058503,0.018794759,0.029907563,0.009053214,2.9085E-15
0.002618157,0.00329774,0.013497154,0.007137272,0.010800986,0.011556202,0.011844992,0.010987265,0.009127848,0.005468604,0.016318142,0.028130299,0.006344349,1.651E-21
0.001035696,0.001702007,0.011111702,0.005649858,0.007885876,0.009232406,0.008899187,0.008176811,0.00692246,0.003575539,0.014121031,0.026388466,0.004320412,5.00038E-30
0.000328955,0.000761386,0.009085671,0.004455523,0.005599415,0.007291458,0.006519988,0.005938081,0.005164804,0.002247436,0.012178099,0.024675637,0.002856772,1.9275E-41
8.05184E-05,0.000286597,0.007378929,0.003500568,0.003862107,0.005688719,0.004652815,0.004204656,0.003789158,0.001355036,0.01046567,0.022986798,0.001832854,1.71135E-56
1.4508E-05,8.77579E-05,0.005952643,0.002739876,0.002584552,0.004381267,0.00323052,0.002900946,0.00273229,0.000781943,0.008961634,0.021318621,0.001140262,4.64729E-76
1.82877E-06,2.10472E-05,0.004770076,0.002136736,0.001676176,0.003328397,0.002180008,0.001949058,0.001935579,0.000430933,0.007645384,0.019950693,0.000687486,3.6304E-101
1.52446E-07,3.78846E-06,0.003797145,0.001660372,0.001052259,0.002492197,0.001428376,0.001274624,0.001346497,0.000226309,0.006497758,0.018306029,0.000401514,5.2362E-133
7.89952E-09,4.8796E-07,0.00300277,0.001285484,0.000638712,0.0018377,0.000907874,0.000811041,0.000919441,0.000112997,0.005500995,0.016683637,0.000227063,5.873E-173
2.37782E-10,4.2659E-08,0.00235904,0.000991617,0.000374427,0.001333367,0.00055929,0.000501949,0.000616006,5.35228E-05,0.004638679,0.015088714,0.0001243,1.3588E-222
4.06181E-12,2.38864E-09,0.001936809,0.000762454,0.00021175,0.000951088,0.000333683,0.000302051,0.000425782,2.39919E-05,0.003895703,0.013743391,6.58538E-05,1.0919E-283
3.45423E-14,8.02891E-11,0.001579848,0.000584036,0.000115392,0.000666323,0.000192662,0.000176653,0.000288523,1.01204E-05,0.003258213,0.01220973,3.37603E-05,0
1.34051E-16,1.51051E-12,0.001280364,0.000445885,6.05285E-05,0.000458077,0.000107578,0.000100354,0.000191599,4.02978E-06,0.00271356,0.010730944,1.67458E-05,0
2.161E-19,1.4726E-14,0.001030989,0.000339251,3.05275E-05,0.000308726,5.80515E-05,5.49246E-05,0.000124641,1.51115E-06,0.002250251,0.009479865,8.0361E-06,0
1.3078E-22,6.84071E-17,0.000824877,0.000257217,1.47867E-05,0.000203771,3.02525E-05,2.88526E-05,7.93995E-05,5.31986E-07,0.001857889,0.00812965,3.73068E-06,0
2.66512E-26,1.55163E-19,0.000655767,0.000218113,6.87172E-06,0.000131589,1.52137E-05,1.45263E-05,4.9511E-05,1.75394E-07,0.001527116,0.006996489,1.67524E-06,0
1.62777E-30,1.38773E-22,0.00051802,0.000184333,3.06E-06,8.3052E-05,7.37655E-06,6.99903E-06,3.02104E-05,5.39472E-08,0.001249553,0.005824608,7.27467E-07,0
2.63084E-35,4.40035E-26,0.000406622,0.000155265,1.30442E-06,5.11752E-05,3.42776E-06,3.22256E-06,1.80312E-05,1.5496E-08,0.001017737,0.004857638,3.03862E-07,0
9.85252E-41,4.41174E-30,0.00031717,0.000130348,5.31787E-07,3.07542E-05,1.52033E-06,1.41581E-06,1.05233E-05,4.06925E-09,0.000825053,0.003980218,1.21671E-07,0
7.42259E-47,1.23666E-34,0.000245844,0.000109068,2.07089E-07,1.8004E-05,6.42687E-07,5.92676E-07,6.00327E-06,1.03045E-09,0.000665675,0.003099033,4.66662E-08,0
9.68028E-54,8.49415E-40,0.000189366,9.09645E-05,7.6969E-08,1.02569E-05,2.58558E-07,2.36047E-07,3.34645E-06,2.33841E-10,0.000534499,0.00240357,1.71311E-08,0
1.86364E-61,1.24146E-45,0.000144954,7.56189E-05,4.5695E-08,5.67936E-06,9.88501E-08,8.93128E-08,1.8222E-06,1.41609E-10,0.000427074,0.001821376,6.01451E-09,0
4.47433E-70,3.32076E-52,0.000110268,6.26589E-05,2.64055E-08,3.05302E-06,3.58609E-08,3.20573E-08,9.68893E-07,8.42984E-11,0.000339549,0.001346121,2.01799E-09,0
1.12086E-79,1.3844E-59,8.33631E-05,5.17532E-05,1.48412E-08,1.59136E-06,1.23269E-08,1.08994E-08,5.02901E-07,4.93223E-11,0.000268605,0.000968516,6.46567E-10,0
2.42716E-90,7.58165E-68,6.26334E-05,4.26091E-05,8.10712E-09,8.03509E-07,4.00904E-09,3.50511E-09,2.54728E-07,2.83596E-11,0.000211402,0.000677066,1.9768E-10,0
3.7258E-102,4.54849E-77,4.67688E-05,3.49691E-05,4.30091E-09,3.9247E-07,1.23181E-09,1.06461E-09,1.25868E-07,1.60225E-11,0.000165523,0.00045897,5.76295E-11,0
